Date,AAPL,AMZN,BTC-USD,CSCO,ETH-USD,IEF,META,TEF
2021-07-01,135.31875610351562,171.64849853515625,33572.1171875,49.58956527709961,2113.60546875,110.06097412109375,354.3900146484375,4.03609561920166
2021-07-02,137.97055053710938,175.5489959716797,33897.046875,50.02874755859375,2150.040283203125,110.4617691040039,354.70001220703125,4.02750825881958
2021-07-03,,,34668.546875,,2226.1142578125,,,
2021-07-04,,,35287.78125,,2321.72412109375,,,
2021-07-05,,,33746.00390625,,2198.58251953125,,,
2021-07-06,140.00125122070312,183.78700256347656,34235.1953125,49.50546646118164,2324.679443359375,111.04389190673828,352.7799987792969,3.8901095390319824
2021-07-07,142.51499938964844,184.82899475097656,33855.328125,49.76710891723633,2315.161865234375,111.36835479736328,350.489990234375,3.864347457885742
2021-07-08,141.20388793945312,186.57049560546875,32877.37109375,49.76710891723633,2120.0263671875,111.65465545654297,345.6499938964844,3.8042349815368652
2021-07-09,143.04733276367188,185.9669952392578,33798.01171875,50.21562957763672,2146.6923828125,111.09159088134766,350.4200134277344,3.855759620666504
2021-07-10,,,33520.51953125,,2111.403564453125,,,
2021-07-11,,,34240.1875,,2139.664794921875,,,
2021-07-12,142.4459991455078,185.92750549316406,33155.84765625,49.73907470703125,2036.7210693359375,111.03436279296875,353.1600036621094,3.8815221786499023
2021-07-13,143.56980895996094,183.8679962158203,32702.025390625,49.82316970825195,1940.083984375,110.69081115722656,352.0899963378906,3.8214099407196045
2021-07-14,147.02989196777344,184.08399963378906,32822.34765625,50.54267501831055,1994.331298828125,111.16796875,347.6300048828125,3.8128225803375244
2021-07-15,146.3694305419922,181.55999755859375,31780.73046875,50.131534576416016,1911.1756591796875,111.63556671142578,344.4599914550781,3.769885540008545
2021-07-16,144.30914306640625,178.68150329589844,31421.5390625,50.178253173828125,1880.3829345703125,111.61648559570312,341.1600036621094,3.778472900390625
2021-07-17,,,31533.068359375,,1898.8251953125,,,
2021-07-18,,,31796.810546875,,1895.5521240234375,,,
2021-07-19,140.42514038085938,177.47950744628906,30817.83203125,49.580223083496094,1817.296630859375,112.57080078125,336.95001220703125,3.6754233837127686
2021-07-20,144.07257080078125,178.6595001220703,29807.34765625,50.066123962402344,1787.5107421875,112.42768096923828,341.6600036621094,3.6840107440948486
2021-07-21,143.33319091796875,179.25999450683594,32110.693359375,50.34645080566406,1990.9708251953125,111.7787094116211,346.2300109863281,3.787060260772705
2021-07-22,144.71331787109375,181.90150451660156,32313.10546875,50.96316909790039,2025.2027587890625,112.03639221191406,351.19000244140625,3.7527105808258057
2021-07-23,146.44827270507812,182.83200073242188,33581.55078125,51.607913970947266,2124.776611328125,111.86460876464844,369.7900085449219,3.8042349815368652
2021-07-24,,,34292.4453125,,2189.21875,,,
2021-07-25,,,35350.1875,,2191.373779296875,,,
2021-07-26,146.8721923828125,184.99099731445312,37337.53515625,51.83217239379883,2233.36669921875,111.78824615478516,372.4599914550781,3.8729348182678223
2021-07-27,144.68373107910156,181.3195037841797,39406.94140625,51.654632568359375,2298.33349609375,112.26541900634766,367.80999755859375,3.8986971378326416
2021-07-28,142.919189453125,181.51600646972656,39995.90625,51.17808532714844,2296.54541015625,112.36083984375,373.2799987792969,3.8901095390319824
2021-07-29,143.56980895996094,179.99600219726562,40008.421875,51.45840835571289,2380.956787109375,112.01729583740234,358.32000732421875,3.864347457885742
2021-07-30,143.78668212890625,166.37950134277344,42235.546875,51.738731384277344,2466.96142578125,112.33220672607422,356.29998779296875,3.9416344165802
2021-07-31,,,41626.1953125,,2536.2099609375,,,
2021-08-01,,,39974.89453125,,2561.85205078125,,,
2021-08-02,143.45152282714844,166.57400512695312,39201.9453125,51.81348419189453,2610.1533203125,112.8249740600586,351.95001220703125,4.01033353805542
2021-08-03,145.26535034179688,168.31199645996094,38152.98046875,52.56101989746094,2502.349609375,112.85360717773438,351.239990234375,4.147732734680176
2021-08-04,144.86117553710938,167.73599243164062,39747.50390625,52.03774642944336,2724.619873046875,112.8249740600586,358.9200134277344,4.113382816314697
2021-08-05,144.96961975097656,168.79949951171875,40869.5546875,52.103153228759766,2827.328857421875,112.41434478759766,362.9700012207031,4.1219706535339355
2021-08-06,144.27853393554688,167.2469940185547,42816.5,51.94430160522461,2890.941650390625,111.75543975830078,363.510009765625,4.1219706535339355
2021-08-07,,,44555.80078125,,3157.23876953125,,,
2021-08-08,,,43798.1171875,,3013.732666015625,,,
2021-08-09,144.22915649414062,167.093505859375,46365.40234375,51.83217239379883,3167.856201171875,111.51669311523438,361.6099853515625,4.182082176208496
2021-08-10,143.74539184570312,166.03399658203125,45585.03125,51.962989807128906,3141.691162109375,111.30663299560547,361.1300048828125,4.216432094573975
2021-08-11,144.00210571289062,164.60549926757812,45593.63671875,52.196598052978516,3164.2451171875,111.43074035644531,359.9599914550781,4.29371976852417
2021-08-12,146.99349975585938,165.1750030517578,44428.2890625,52.691837310791016,3043.414306640625,111.31616973876953,362.6499938964844,4.31089448928833
2021-08-13,147.20083618164062,164.69850158691406,47793.3203125,52.7665901184082,3322.211669921875,111.95597076416016,363.17999267578125,4.34524393081665
2021-08-14,,,47096.9453125,,3265.443359375,,,
2021-08-15,,,47047.00390625,,3310.504150390625,,,
2021-08-16,149.19509887695312,164.94949340820312,46004.484375,52.589054107666016,3156.509521484375,112.2042465209961,366.55999755859375,4.31089448928833
2021-08-17,148.27696228027344,162.09800720214844,44695.359375,52.336753845214844,3014.845947265625,112.14697265625,358.45001220703125,4.276544094085693
2021-08-18,144.4957275390625,160.06100463867188,44801.1875,51.53315734863281,3020.08984375,112.08964538574219,355.45001220703125,4.31089448928833
2021-08-19,144.83140563964844,159.3874969482422,46717.578125,53.514129638671875,3182.7021484375,112.33795166015625,355.1199951171875,4.259368896484375
2021-08-20,146.30242919921875,159.99749755859375,49339.17578125,54.401824951171875,3286.935302734375,112.23289489746094,359.3699951171875,4.259368896484375
2021-08-21,,,48905.4921875,,3226.083984375,,,
2021-08-22,,,49321.65234375,,3242.115478515625,,,
2021-08-23,147.8030548095703,163.2935028076172,49546.1484375,54.700836181640625,3319.25732421875,112.26156616210938,363.3500061035156,4.285131454467773
2021-08-24,147.7141876220703,165.28900146484375,47706.1171875,55.4296875,3172.456298828125,111.95597076416016,365.510009765625,4.29371976852417
2021-08-25,146.47027587890625,164.95899963378906,48960.7890625,55.45771408081055,3224.915283203125,111.51669311523438,368.3900146484375,4.33665657043457
2021-08-26,145.6606903076172,165.8000030517578,46942.21875,55.31755065917969,3100.325439453125,111.51669311523438,364.3800048828125,4.276544094085693
2021-08-27,146.70721435546875,167.48150634765625,49058.66796875,55.149356842041016,3270.600830078125,111.87958526611328,372.6300048828125,4.33665657043457
2021-08-28,,,48902.40234375,,3244.4033203125,,,
2021-08-29,,,48829.83203125,,3227.002685546875,,,
2021-08-30,151.1696319580078,171.07850646972656,47054.984375,55.25214385986328,3224.374267578125,112.09920501708984,380.6600036621094,4.32806921005249
2021-08-31,149.89605712890625,173.5395050048828,47166.6875,55.149356842041016,3433.732666015625,111.88912200927734,379.3800048828125,4.250781536102295
2021-09-01,150.5673828125,173.9499969482422,48847.02734375,55.16804885864258,3834.828125,111.9369125366211,382.04998779296875,4.31089448928833
2021-09-02,151.69288635253906,173.156005859375,49327.72265625,55.62590408325195,3790.989990234375,112.07067108154297,375.2799987792969,4.285131454467773
2021-09-03,152.3345947265625,173.90249633789062,50025.375,55.523128509521484,3940.61474609375,111.80313873291016,376.260009765625,4.207844257354736
2021-09-04,,,49944.625,,3887.828369140625,,,
2021-09-05,,,51753.41015625,,3952.133544921875,,,
2021-09-06,,,52633.53515625,,3928.37939453125,,,
2021-09-07,154.6941680908203,175.46449279785156,46811.12890625,55.01853942871094,3426.394287109375,111.36356353759766,382.17999267578125,4.276544094085693
2021-09-08,153.13427734375,176.27499389648438,46091.390625,54.83165740966797,3497.315185546875,111.66934967041016,377.57000732421875,4.285131454467773
2021-09-09,152.1075439453125,174.20799255371094,46391.421875,54.756900787353516,3427.340087890625,111.98470306396484,378.0,4.216432094573975
2021-09-10,147.072509765625,173.45750427246094,44883.91015625,54.09347152709961,3211.505859375,111.63111877441406,378.69000244140625,4.164907455444336
2021-09-11,,,45201.45703125,,3270.278076171875,,,
2021-09-12,,,46063.26953125,,3410.134521484375,,,
2021-09-13,147.6450958251953,172.85850524902344,44963.07421875,54.28969192504883,3285.51171875,111.76490783691406,376.510009765625,4.233606815338135
2021-09-14,146.23330688476562,172.5,47092.4921875,54.07477951049805,3429.169677734375,112.18535614013672,376.5299987792969,4.182082176208496
2021-09-15,147.13172912597656,173.7895050048828,48176.34765625,53.78511428833008,3615.28271484375,111.99423217773438,373.9200134277344,4.216432094573975
2021-09-16,146.894775390625,174.41200256347656,47783.359375,53.5701904296875,3571.294921875,111.64067840576172,373.05999755859375,4.190669536590576
2021-09-17,144.19956970214844,173.12600708007812,47267.51953125,53.12166976928711,3398.538818359375,111.31576538085938,364.7200012207031,4.164907455444336
2021-09-18,,,48278.36328125,,3432.018310546875,,,
2021-09-19,,,47260.21875,,3329.447998046875,,,
2021-09-20,141.11929321289062,167.7864990234375,42843.80078125,52.22462844848633,2958.993408203125,111.87955474853516,355.70001220703125,4.1219706535339355
2021-09-21,141.60304260253906,167.18150329589844,40693.67578125,51.63594436645508,2764.43115234375,111.81269073486328,357.4800109863281,4.05327033996582
2021-09-22,143.9922332763672,169.00250244140625,43574.5078125,51.8788948059082,3077.867919921875,111.91778564453125,343.2099914550781,4.079033374786377
2021-09-23,144.9597625732422,170.8000030517578,44895.09765625,52.97216033935547,3155.523681640625,110.90487670898438,345.9599914550781,4.130558013916016
2021-09-24,145.04859924316406,171.2760009765625,42839.75,53.00954055786133,2931.669189453125,110.5704116821289,352.9599914550781,4.1219706535339355
2021-09-25,,,42716.59375,,2925.565673828125,,,
2021-09-26,,,43208.5390625,,3062.265380859375,,,
2021-09-27,143.51832580566406,170.2899932861328,42235.73046875,52.53299331665039,2934.138916015625,110.27421569824219,353.5799865722656,4.216432094573975
2021-09-28,140.10243225097656,165.79800415039062,41034.54296875,51.8788948059082,2807.296630859375,109.85375213623047,340.6499938964844,4.156320095062256
2021-09-29,141.01068115234375,165.05599975585938,41564.36328125,51.84151840209961,2853.143310546875,109.96839904785156,339.6099853515625,4.0704450607299805
2021-09-30,139.6976318359375,164.2519989013672,43790.89453125,50.86037826538086,3001.678955078125,110.1021957397461,339.3900146484375,4.04468297958374
2021-10-01,140.8329620361328,164.16299438476562,48116.94140625,51.52381134033203,3307.51611328125,110.55164337158203,343.010009765625,4.01033353805542
2021-10-02,,,47711.48828125,,3391.6943359375,,,
2021-10-03,,,48199.953125,,3418.358642578125,,,
2021-10-04,137.36770629882812,159.48899841308594,49112.90234375,51.01581954956055,3380.089111328125,110.41773223876953,326.2300109863281,4.061858177185059
2021-10-05,139.3126220703125,161.0500030517578,51514.8125,51.44855499267578,3518.5185546875,110.0735092163086,332.9599914550781,4.104795455932617
2021-10-06,140.19125366210938,163.10049438476562,55361.44921875,50.74300765991211,3580.56201171875,110.10218811035156,333.6400146484375,4.01033353805542
2021-10-07,141.46484375,165.1215057373047,53805.984375,51.759002685546875,3587.974853515625,109.66231536865234,329.2200012207031,3.9931588172912598
2021-10-08,141.07981872558594,164.43099975585938,53967.84765625,51.8154411315918,3563.75927734375,109.42324829101562,330.04998779296875,4.01033353805542
2021-10-09,,,54968.22265625,,3575.716796875,,,
2021-10-10,,,54771.578125,,3425.852783203125,,,
2021-10-11,140.99093627929688,162.31500244140625,57484.7890625,51.67433547973633,3545.35400390625,109.15550231933594,325.45001220703125,3.9588091373443604
2021-10-12,139.70750427246094,162.3665008544922,56041.05859375,51.06285095214844,3492.5732421875,109.65275573730469,323.7699890136719,4.00174617767334
2021-10-13,139.1151580810547,164.21400451660156,57401.09765625,51.38270568847656,3606.20166015625,109.86312103271484,324.5400085449219,3.9588091373443604
2021-10-14,141.9288330078125,164.9929962158203,57321.5234375,52.351654052734375,3786.01416015625,110.121337890625,328.5299987792969,3.924459218978882
2021-10-15,142.9951171875,170.4510040283203,61593.94921875,51.97536087036133,3862.634765625,109.57624816894531,324.760009765625,3.8214099407196045
2021-10-16,,,60892.1796875,,3830.382080078125,,,
2021-10-17,,,61553.6171875,,3847.1044921875,,,
2021-10-18,144.68331909179688,172.33700561523438,62026.078125,51.91891860961914,3748.76025390625,109.42324829101562,335.3399963378906,3.761298179626465
2021-10-19,146.8651580810547,172.20750427246094,64261.9921875,52.43632507324219,3877.65087890625,109.03119659423828,339.989990234375,3.778472900390625
2021-10-20,147.35879516601562,170.7530059814453,65992.8359375,52.86906051635742,4155.9921875,108.98341369628906,340.7799987792969,3.8986971378326416
2021-10-21,147.57598876953125,171.75050354003906,62210.171875,52.389286041259766,4054.32275390625,108.6965103149414,341.8800048828125,3.8214099407196045
2021-10-22,146.79605102539062,166.77749633789062,60692.265625,51.843666076660156,3970.181884765625,108.97382354736328,324.6099853515625,3.787060260772705
2021-10-23,,,61393.6171875,,4171.66357421875,,,
2021-10-24,,,60930.8359375,,4087.903076171875,,,
2021-10-25,146.74667358398438,166.01849365234375,63039.82421875,51.87187957763672,4217.876953125,109.10768127441406,328.69000244140625,3.8128225803375244
2021-10-26,147.41802978515625,168.80349731445312,60363.79296875,52.50217056274414,4131.10205078125,109.24156951904297,315.80999755859375,3.8042349815368652
2021-10-27,146.95401000976562,169.62449645996094,58482.38671875,52.850242614746094,3930.25732421875,109.8535385131836,312.2200012207031,3.795647621154785
2021-10-28,150.62664794921875,172.32850646972656,60622.13671875,52.90669250488281,4287.31884765625,109.56670379638672,316.9200134277344,3.769885540008545
2021-10-29,147.8919219970703,168.6215057373047,62227.96484375,52.65269088745117,4414.74658203125,109.6145248413086,323.57000732421875,3.7355358600616455
2021-10-30,,,61888.83203125,,4325.650390625,,,
2021-10-31,,,61318.95703125,,4288.07421875,,,
2021-11-01,147.06265258789062,165.90550231933594,61004.40625,52.774986267089844,4324.626953125,109.60589599609375,329.9800109863281,3.8128225803375244
2021-11-02,148.10914611816406,165.6374969482422,63226.40234375,54.204898834228516,4584.798828125,109.87381744384766,328.0799865722656,3.7355358600616455
2021-11-03,149.5603790283203,169.1999969482422,62970.046875,54.23311996459961,4607.19384765625,109.52935791015625,331.6199951171875,3.778472900390625
2021-11-04,149.03713989257812,173.85000610351562,61452.23046875,53.73453140258789,4537.32421875,110.12261962890625,335.8500061035156,3.632486343383789
2021-11-05,149.57106018066406,175.94949340820312,61125.67578125,53.68749237060547,4486.2431640625,110.72547912597656,341.1300048828125,3.7441232204437256
2021-11-06,,,61527.48046875,,4521.5810546875,,,
2021-11-07,,,63326.98828125,,4620.5546875,,,
2021-11-08,148.74053955078125,174.44900512695312,67566.828125,53.62164306640625,4812.08740234375,110.24703216552734,338.6199951171875,3.7441232204437256
2021-11-09,149.10633850097656,178.81149291992188,66971.828125,54.035560607910156,4735.06884765625,110.75421905517578,335.3699951171875,3.8042349815368652
2021-11-10,146.2489776611328,174.1024932861328,64995.23046875,54.346004486083984,4636.17431640625,109.80684661865234,327.6400146484375,3.864347457885742
2021-11-11,146.19955444335938,173.625,64949.9609375,53.3958625793457,4730.38427734375,109.4527816772461,327.739990234375,3.9072844982147217
2021-11-12,148.2956085205078,176.25750732421875,64155.94140625,53.452308654785156,4667.115234375,109.68246459960938,340.8900146484375,3.8986971378326416
2021-11-13,,,64469.52734375,,4651.46044921875,,,
2021-11-14,,,65466.83984375,,4626.35888671875,,,
2021-11-15,148.30551147460938,177.28399658203125,63557.87109375,53.87564468383789,4557.50390625,109.25183868408203,347.55999755859375,3.8385848999023438
2021-11-16,149.294189453125,177.03500366210938,60161.24609375,53.62164306640625,4216.365234375,109.1561508178711,342.9599914550781,3.8128225803375244
2021-11-17,151.75608825683594,177.4499969482422,60368.01171875,53.3958625793457,4287.59375,109.54847717285156,340.7699890136719,3.8214099407196045
2021-11-18,156.08660888671875,184.80299377441406,56942.13671875,50.451385498046875,4000.65087890625,109.61546325683594,338.69000244140625,3.847172737121582
2021-11-19,158.736328125,183.82850646972656,58119.578125,50.093902587890625,4298.306640625,109.91210174560547,345.29998779296875,3.8214099407196045
2021-11-20,,,59697.1953125,,4409.93115234375,,,
2021-11-21,,,58730.4765625,,4269.73291015625,,,
2021-11-22,159.20101928710938,178.6284942626953,56289.2890625,51.3638916015625,4088.457763671875,109.1082992553711,341.010009765625,4.02750825881958
2021-11-23,159.58660888671875,179.0019989013672,57569.07421875,52.02239990234375,4340.763671875,108.65853881835938,337.25,3.9158718585968018
2021-11-24,160.11062622070312,179.02049255371094,56280.42578125,52.24817657470703,4239.9814453125,108.99346160888672,341.05999755859375,3.864347457885742
2021-11-25,,,57274.6796875,,4274.7431640625,,,
2021-11-26,155.03855895996094,175.22799682617188,53569.765625,51.42974090576172,4030.908935546875,110.4001693725586,333.1199951171875,3.778472900390625
2021-11-27,,,54815.078125,,4096.912109375,,,
2021-11-28,,,57248.45703125,,4294.45361328125,,,
2021-11-29,158.42984008789062,178.07850646972656,57806.56640625,52.455135345458984,4445.10498046875,110.15135192871094,338.0299987792969,3.795647621154785
2021-11-30,163.43263244628906,175.35350036621094,57005.42578125,51.589664459228516,4631.47900390625,110.81160736083984,324.4599914550781,3.8729348182678223
2021-12-01,162.90866088867188,172.18600463867188,57229.828125,51.76840591430664,4586.990234375,111.02039337158203,310.6000061035156,3.789128065109253
2021-12-02,161.91006469726562,171.8679962158203,56477.81640625,52.82202911376953,4511.30224609375,110.7809829711914,310.3900146484375,3.7534656524658203
2021-12-03,160.01173400878906,169.489501953125,53598.24609375,52.897281646728516,4220.7060546875,111.43217468261719,306.8399963378906,3.7088875770568848
2021-12-04,,,49200.703125,,4119.58740234375,,,
2021-12-05,,,49368.84765625,,4198.32275390625,,,
2021-12-06,163.45245361328125,171.36849975585938,50582.625,53.58401107788086,4358.7373046875,110.87673950195312,317.8699951171875,3.789128065109253
2021-12-07,169.24623107910156,176.1645050048828,50700.0859375,54.63763427734375,4315.0615234375,110.45537567138672,322.80999755859375,3.771296739578247
2021-12-08,173.10218811035156,176.1580047607422,50504.796875,53.64045715332031,4439.35791015625,110.10102844238281,330.55999755859375,3.762381076812744
2021-12-09,172.58802795410156,174.17100524902344,47672.12109375,54.13904571533203,4119.81591796875,110.37875366210938,329.82000732421875,3.7088875770568848
2021-12-10,177.42282104492188,172.21200561523438,47243.3046875,55.73828887939453,3908.49609375,110.45537567138672,329.75,3.762381076812744
2021-12-11,,,49362.5078125,,4084.452392578125,,,
2021-12-12,,,50098.3359375,,4134.453125,,,
2021-12-13,173.75474548339844,169.5675048828125,46737.48046875,55.1362190246582,3784.226806640625,110.98208618164062,334.489990234375,3.699972152709961
2021-12-14,172.36065673828125,169.0915069580078,46612.6328125,54.346004486083984,3745.4404296875,110.7905502319336,333.739990234375,3.842621326446533
2021-12-15,177.27450561523438,173.31500244140625,48896.72265625,56.37798309326172,4018.388671875,110.62776947021484,341.6600036621094,3.860452890396118
2021-12-16,170.3140411376953,168.87100219726562,47665.42578125,56.73546600341797,3962.4697265625,110.9498062133789,334.8999938964844,3.798043727874756
2021-12-17,169.20669555664062,170.0175018310547,46202.14453125,56.876564025878906,3879.486572265625,111.19903564453125,333.7900085449219,3.842621326446533
2021-12-18,,,46848.77734375,,3960.860107421875,,,
2021-12-19,,,46707.015625,,3922.592529296875,,,
2021-12-20,167.83236694335938,167.07899475097656,46880.27734375,56.78249740600586,3933.844482421875,111.10318756103516,325.45001220703125,3.8247904777526855
2021-12-21,171.0358123779297,170.41700744628906,48936.61328125,57.412784576416016,4020.260009765625,110.6622543334961,334.20001220703125,3.8515372276306152
2021-12-22,173.65585327148438,171.03700256347656,48628.51171875,57.88315200805664,3982.099609375,110.76769256591797,330.45001220703125,3.869368314743042
2021-12-23,174.2886199951172,171.06849670410156,50784.5390625,58.58869934082031,4108.015625,110.53765869140625,335.239990234375,3.878284454345703
2021-12-24,,,50822.1953125,,4047.98291015625,,,
2021-12-25,,,50429.859375,,4093.281005859375,,,
2021-12-26,,,50809.515625,,4067.328125,,,
2021-12-27,178.29287719726562,169.66949462890625,50640.41796875,59.6611328125,4037.547607421875,110.57600402832031,346.17999267578125,3.905031204223633
2021-12-28,177.26461791992188,170.66099548339844,47588.85546875,59.76461410522461,3800.89306640625,110.55681610107422,346.2200012207031,3.89611554145813
2021-12-29,177.35362243652344,169.2010040283203,46444.7109375,60.16912841796875,3628.53173828125,109.99128723144531,342.94000244140625,3.9139463901519775
2021-12-30,176.18695068359375,168.64450073242188,47178.125,59.849281311035156,3713.85205078125,110.35553741455078,344.3599853515625,3.8158748149871826
